FactID,DateTime,LastBid,High,Low,Open,Volume,MarketCap,Beta,Company,Symbol,Exchange
7230,2021-05-28 14:16:00.0000000,135.14,135.14,135.12,135.14,8805,330850000000,0.43,Procter & Gamble,PG,NYSE
7231,2021-05-28 14:17:00.0000000,135.12,135.16,135.12,135.14,14597,330801000000,0.43,Procter & Gamble,PG,NYSE
7232,2021-05-28 14:18:00.0000000,135.17,135.17,135.09,135.11,9850,330923000000,0.43,Procter & Gamble,PG,NYSE
7233,2021-05-28 14:19:00.0000000,135.16499,135.175,135.16,135.1665,5801,330911000000,0.43,Procter & Gamble,PG,NYSE
7234,2021-05-28 14:20:00.0000000,135.17,135.17,135.10001,135.17,14212,330923000000,0.43,Procter & Gamble,PG,NYSE
7235,2021-05-28 14:21:00.0000000,135.14,135.17,135.13,135.17,7984,330850000000,0.43,Procter & Gamble,PG,NYSE
7236,2021-05-28 14:22:00.0000000,135.13,135.16,135.13,135.14,6619,330825000000,0.43,Procter & Gamble,PG,NYSE
7237,2021-05-28 14:23:00.0000000,135.12,135.17,135.12,135.13,16703,330801000000,0.43,Procter & Gamble,PG,NYSE
7238,2021-05-28 14:24:00.0000000,135.13,135.14,135.11,135.12,10430,330825000000,0.43,Procter & Gamble,PG,NYSE
7239,2021-05-28 14:25:00.0000000,135.13,135.14999,135.13,135.145,7409,330825000000,0.43,Procter & Gamble,PG,NYSE
7240,2021-05-28 14:26:00.0000000,135.155,135.16,135.13,135.13499,11225,330886000000,0.43,Procter & Gamble,PG,NYSE
7241,2021-05-28 14:27:00.0000000,135.1395,135.17,135.1395,135.14999,6169,330849000000,0.43,Procter & Gamble,PG,NYSE
7242,2021-05-28 14:28:00.0000000,135.12,135.13499,135.08,135.13499,18562,330801000000,0.43,Procter & Gamble,PG,NYSE
7243,2021-05-28 14:29:00.0000000,135.1263,135.13831,135.10001,135.12,6110,330816000000,0.43,Procter & Gamble,PG,NYSE
7244,2021-05-28 14:30:00.0000000,135.11,135.13,135.09,135.125,11947,330776000000,0.43,Procter & Gamble,PG,NYSE
7245,2021-05-28 14:31:00.0000000,135.065,135.10001,135.065,135.10001,8680,330666000000,0.43,Procter & Gamble,PG,NYSE
7246,2021-05-28 14:32:00.0000000,135.11501,135.14,135.05,135.065,16053,330789000000,0.43,Procter & Gamble,PG,NYSE
7247,2021-05-28 14:33:00.0000000,135.10001,135.11,135.065,135.11,12321,330752000000,0.43,Procter & Gamble,PG,NYSE
7248,2021-05-28 14:34:00.0000000,135.08501,135.10001,135.07001,135.10001,7748,330715000000,0.43,Procter & Gamble,PG,NYSE
7249,2021-05-28 14:35:00.0000000,135.09,135.095,135.08,135.08,8019,330727000000,0.43,Procter & Gamble,PG,NYSE
7250,2021-05-28 14:36:00.0000000,135.09,135.12,135.08,135.08,15896,330727000000,0.43,Procter & Gamble,PG,NYSE
7251,2021-05-28 14:37:00.0000000,135.12,135.14,135.08501,135.09,8401,330801000000,0.43,Procter & Gamble,PG,NYSE
7252,2021-05-28 14:38:00.0000000,135.11,135.11501,135.10001,135.11,4569,330776000000,0.43,Procter & Gamble,PG,NYSE
7253,2021-05-28 14:39:00.0000000,135.145,135.145,135.07001,135.11,8477,330862000000,0.43,Procter & Gamble,PG,NYSE
7254,2021-05-28 14:40:00.0000000,135.10001,135.14,135.10001,135.14,6622,330752000000,0.43,Procter & Gamble,PG,NYSE
7255,2021-05-28 14:41:00.0000000,135.13,135.13499,135.10001,135.10001,6622,330825000000,0.43,Procter & Gamble,PG,NYSE
7256,2021-05-28 14:42:00.0000000,135.12,135.13,135.12,135.13,2220,330801000000,0.43,Procter & Gamble,PG,NYSE
7257,2021-05-28 14:43:00.0000000,135.10001,135.14,135.09,135.12,15045,330752000000,0.43,Procter & Gamble,PG,NYSE
7258,2021-05-28 14:44:00.0000000,135.13499,135.14,135.105,135.105,14625,330837000000,0.43,Procter & Gamble,PG,NYSE
7259,2021-05-28 14:45:00.0000000,135.12,135.13,135.11501,135.13,9584,330801000000,0.43,Procter & Gamble,PG,NYSE
7260,2021-05-28 14:46:00.0000000,135.14,135.14,135.11,135.11,7678,330850000000,0.43,Procter & Gamble,PG,NYSE
7261,2021-05-28 14:47:00.0000000,135.19,135.19,135.1337,135.1337,7627,330972000000,0.43,Procter & Gamble,PG,NYSE
7262,2021-05-28 14:48:00.0000000,135.14999,135.17999,135.145,135.17999,6640,330874000000,0.43,Procter & Gamble,PG,NYSE
7263,2021-05-28 14:49:00.0000000,135.19,135.21001,135.14999,135.14999,9211,330972000000,0.43,Procter & Gamble,PG,NYSE
7264,2021-05-28 14:50:00.0000000,135.2,135.215,135.155,135.2,16551,330997000000,0.43,Procter & Gamble,PG,NYSE
7265,2021-05-28 14:51:00.0000000,135.17999,135.22,135.17999,135.19,14198,330948000000,0.43,Procter & Gamble,PG,NYSE
7266,2021-05-28 14:52:00.0000000,135.14,135.17,135.12,135.17,36167,330850000000,0.43,Procter & Gamble,PG,NYSE
7267,2021-05-28 14:53:00.0000000,135.14,135.16,135.14,135.145,11598,330850000000,0.43,Procter & Gamble,PG,NYSE
7268,2021-05-28 14:54:00.0000000,135.14999,135.14999,135.11,135.13,6016,330874000000,0.43,Procter & Gamble,PG,NYSE
7269,2021-05-28 14:55:00.0000000,135.145,135.17,135.14,135.14999,6578,330862000000,0.43,Procter & Gamble,PG,NYSE
7270,2021-05-28 14:56:00.0000000,135.145,135.17,135.14,135.14,7201,330862000000,0.43,Procter & Gamble,PG,NYSE
7271,2021-05-28 14:57:00.0000000,135.16,135.17,135.09,135.14,15845,330899000000,0.43,Procter & Gamble,PG,NYSE
7272,2021-05-28 14:58:00.0000000,135.13,135.17,135.13,135.17,8369,330825000000,0.43,Procter & Gamble,PG,NYSE
7273,2021-05-28 14:59:00.0000000,135.14999,135.16,135.11501,135.14,9502,330874000000,0.43,Procter & Gamble,PG,NYSE
7274,2021-05-28 15:00:00.0000000,135.13499,135.14,135.105,135.14,15500,330837000000,0.43,Procter & Gamble,PG,NYSE
7275,2021-05-28 09:30:00.0000000,160.39999,160.39999,160.39999,160.39999,14400,40340598465,0.74,The Travelers Companies,TRV,NYSE
7276,2021-05-28 09:31:00.0000000,160.19501,160.19501,160.19501,160.19501,306,40289044342,0.74,The Travelers Companies,TRV,NYSE
7277,2021-05-28 09:33:00.0000000,160.08,160.095,159.67,160.095,3864,40260120461,0.74,The Travelers Companies,TRV,NYSE
7278,2021-05-28 09:34:00.0000000,160.19,160.19,160.045,160.045,1619,40287785614,0.74,The Travelers Companies,TRV,NYSE
7279,2021-05-28 09:36:00.0000000,160.11,160.11,160.11,160.11,606,40267665154,0.74,The Travelers Companies,TRV,NYSE
7280,2021-05-28 09:37:00.0000000,160.00999,160.07001,159.99001,160.07001,1487,40242513618,0.74,The Travelers Companies,TRV,NYSE
7281,2021-05-28 09:38:00.0000000,159.765,159.94,159.765,159.94,2094,40180897346,0.74,The Travelers Companies,TRV,NYSE
7282,2021-05-28 09:40:00.0000000,159.66,159.75,159.66,159.75,642,40154490921,0.74,The Travelers Companies,TRV,NYSE
7283,2021-05-28 09:41:00.0000000,159.61,159.64999,159.57001,159.64999,2623,40141915154,0.74,The Travelers Companies,TRV,NYSE
7284,2021-05-28 09:42:00.0000000,159.495,159.7182,159.495,159.60001,1617,40112991272,0.74,The Travelers Companies,TRV,NYSE
7285,2021-05-28 09:43:00.0000000,159.58,159.64,159.58,159.64,519,40134370461,0.74,The Travelers Companies,TRV,NYSE
7286,2021-05-28 09:44:00.0000000,159.72501,159.735,159.72501,159.735,2404,40170839035,0.74,The Travelers Companies,TRV,NYSE
7287,2021-05-28 09:45:00.0000000,159.84,159.95399,159.72501,159.72501,991,40199759079,0.74,The Travelers Companies,TRV,NYSE
7288,2021-05-28 09:46:00.0000000,159.845,159.96001,159.845,159.96001,1029,40201017807,0.74,The Travelers Companies,TRV,NYSE
7289,2021-05-28 09:47:00.0000000,159.81,159.95,159.81,159.95,1674,40192214386,0.74,The Travelers Companies,TRV,NYSE
7290,2021-05-28 09:49:00.0000000,159.57001,159.92999,159.57001,159.89999,1734,40131856842,0.74,The Travelers Companies,TRV,NYSE
7291,2021-05-28 09:50:00.0000000,159.64999,159.67,159.58,159.66,2810,40151973465,0.74,The Travelers Companies,TRV,NYSE
7292,2021-05-28 09:51:00.0000000,159.42999,159.58,159.42999,159.58,2701,40096643158,0.74,The Travelers Companies,TRV,NYSE
7293,2021-05-28 09:52:00.0000000,159.59,159.59,159.42999,159.42999,2647,40136884079,0.74,The Travelers Companies,TRV,NYSE
7294,2021-05-28 09:53:00.0000000,159.64999,159.7,159.59,159.64,2415,40151973465,0.74,The Travelers Companies,TRV,NYSE
7295,2021-05-28 09:54:00.0000000,159.60001,159.6562,159.60001,159.6562,335,40139401535,0.74,The Travelers Companies,TRV,NYSE
7296,2021-05-28 09:55:00.0000000,159.64999,159.72501,159.64999,159.7,2847,40151973465,0.74,The Travelers Companies,TRV,NYSE
7297,2021-05-28 09:56:00.0000000,159.72,159.72,159.64,159.64,1572,40169580307,0.74,The Travelers Companies,TRV,NYSE
7298,2021-05-28 09:57:00.0000000,159.69,159.72,159.67999,159.67999,2671,40162035614,0.74,The Travelers Companies,TRV,NYSE
7299,2021-05-28 09:58:00.0000000,159.62,159.69,159.59,159.66,1948,40144428772,0.74,The Travelers Companies,TRV,NYSE
7300,2021-05-28 09:59:00.0000000,159.705,159.705,159.64,159.69,1571,40165807961,0.74,The Travelers Companies,TRV,NYSE
7301,2021-05-28 10:00:00.0000000,159.75999,159.85001,159.75,159.77,3569,40179638618,0.74,The Travelers Companies,TRV,NYSE
7302,2021-05-28 10:01:00.0000000,159.825,159.87,159.71001,159.72,4192,40195986732,0.74,The Travelers Companies,TRV,NYSE
7303,2021-05-28 10:02:00.0000000,159.86,159.925,159.845,159.845,2341,40204790154,0.74,The Travelers Companies,TRV,NYSE
7304,2021-05-28 10:03:00.0000000,159.96001,159.965,159.895,159.92999,1372,40229941689,0.74,The Travelers Companies,TRV,NYSE
7305,2021-05-28 10:04:00.0000000,159.89,159.96001,159.84,159.96001,4659,40212334846,0.74,The Travelers Companies,TRV,NYSE
7306,2021-05-28 10:05:00.0000000,159.8,159.89,159.8,159.89,1112,40189700768,0.74,The Travelers Companies,TRV,NYSE
7307,2021-05-28 10:06:00.0000000,159.63,159.72,159.606,159.72,1224,40146946228,0.74,The Travelers Companies,TRV,NYSE
7308,2021-05-28 10:07:00.0000000,159.42999,159.67999,159.33501,159.63,6064,40096643158,0.74,The Travelers Companies,TRV,NYSE
7309,2021-05-28 10:08:00.0000000,159.34,159.3653,159.34,159.34,325,40074009079,0.74,The Travelers Companies,TRV,NYSE
