FactID,DateTime,LastBid,High,Low,Open,Volume,MarketCap,Beta,SecurityID
1608,2021-05-28 14:15:00.0000000,53.04500,53.04500,53.03370,53.03500,14286,223542000000,0.920,7
1609,2021-05-28 14:16:00.0000000,53.04000,53.05000,53.04000,53.05000,12541,223521000000,0.920,7
1610,2021-05-28 14:17:00.0000000,53.03000,53.03000,53.02000,53.03000,16270,223479000000,0.920,7
1611,2021-05-28 14:18:00.0000000,53.03500,53.04000,53.02450,53.03000,6874,223500000000,0.920,7
1612,2021-05-28 14:19:00.0000000,53.03000,53.03500,53.02010,53.03500,15642,223479000000,0.920,7
1613,2021-05-28 14:20:00.0000000,53.01000,53.03000,53.01000,53.03000,16248,223395000000,0.920,7
1614,2021-05-28 14:21:00.0000000,53.01000,53.02000,53.00000,53.01500,42745,223395000000,0.920,7
1615,2021-05-28 14:22:00.0000000,53.00500,53.01000,53.00000,53.01000,6966,223374000000,0.920,7
1616,2021-05-28 14:23:00.0000000,53.00500,53.01000,52.99500,53.00500,16362,223374000000,0.920,7
1617,2021-05-28 14:24:00.0000000,53.00440,53.01000,53.00170,53.00500,5671,223371000000,0.920,7
1618,2021-05-28 14:25:00.0000000,53.01000,53.01500,53.00000,53.00500,19756,223395000000,0.920,7
1619,2021-05-28 14:26:00.0000000,53.00500,53.01000,53.00000,53.00500,4804,223374000000,0.920,7
1620,2021-05-28 14:27:00.0000000,53.01500,53.02000,53.00410,53.01000,9150,223416000000,0.920,7
1621,2021-05-28 14:28:00.0000000,53.01500,53.02000,53.01000,53.02000,12681,223416000000,0.920,7
1622,2021-05-28 14:29:00.0000000,53.03000,53.03000,53.01500,53.01500,19408,223479000000,0.920,7
1623,2021-05-28 14:30:00.0000000,53.03500,53.04000,53.02000,53.03500,24029,223500000000,0.920,7
1624,2021-05-28 14:31:00.0000000,53.03500,53.04000,53.03000,53.04000,14058,223500000000,0.920,7
1625,2021-05-28 14:32:00.0000000,53.03390,53.04000,53.02000,53.03000,14182,223496000000,0.920,7
1626,2021-05-28 14:33:00.0000000,53.03500,53.03990,53.02000,53.03000,15553,223500000000,0.920,7
1627,2021-05-28 14:34:00.0000000,53.04500,53.04500,53.03000,53.03500,10370,223542000000,0.920,7
1628,2021-05-28 14:35:00.0000000,53.03500,53.04500,53.03000,53.04500,12423,223500000000,0.920,7
1629,2021-05-28 14:36:00.0000000,53.05500,53.05510,53.03790,53.04000,18002,223585000000,0.920,7
1630,2021-05-28 14:37:00.0000000,53.06500,53.07000,53.05500,53.05500,9485,223627000000,0.920,7
1631,2021-05-28 14:38:00.0000000,53.05500,53.06510,53.05000,53.06510,13836,223585000000,0.920,7
1632,2021-05-28 14:39:00.0000000,53.06000,53.06500,53.05000,53.05500,10707,223606000000,0.920,7
1633,2021-05-28 14:40:00.0000000,53.05500,53.06000,53.05000,53.06000,7115,223585000000,0.920,7
1634,2021-05-28 14:41:00.0000000,53.04350,53.06000,53.04000,53.05500,17044,223536000000,0.920,7
1635,2021-05-28 14:42:00.0000000,53.05500,53.06000,53.04000,53.04500,30889,223585000000,0.920,7
1636,2021-05-28 14:43:00.0000000,53.05000,53.06000,53.05000,53.05500,3843,223564000000,0.920,7
1637,2021-05-28 14:44:00.0000000,53.05500,53.07000,53.05500,53.05500,26288,223585000000,0.920,7
1638,2021-05-28 14:45:00.0000000,53.06000,53.06000,53.05000,53.05500,6534,223606000000,0.920,7
1639,2021-05-28 14:46:00.0000000,53.05500,53.05960,53.05000,53.05500,4598,223585000000,0.920,7
